dbm,checksum,linkQualityIndicator,duration,syncMode,baud,mancEncoding,payload
-77.5,True,62,1.296472,0,300,True,fff9e0079e7ff8186787e61867e1e67f9e7f801ffe19f819fe1807e06199
-22.5,True,32,0.654041,0,600,True,ffff81861fe0061e7987e07f98078181f807f81879f87e6607867e1e0600
-77.5,True,7,0.333393,0,1200,True,ff87987e7e1e1f86199ffe67867981f806781ff98199ff87e7f86018067f
-14.0,False,62,0.173207,0,2400,True,e1e181e07e666661f81e0187e678678661f9fe78007fe787f99e7fe7e1f8
-59.0,False,38,0.092148,0,4800,True,ff9fff9f87987f99e01fffe61e7f9e60007e6198061f9fe78667f9819e1e
-74.5,True,63,0.864575,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.438358,0,600,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.225062,0,1200,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.118349,0,2400,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065092,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-77.5,True,7,1.296228,0,300,True,fe79f9e7e067e18781878001e1e61f8678787e60799807e7e6787fe7e1ff
-135.0,False,62,0.654096,0,600,True,f9fe1e67fe661f999f8606007f87986601879e667f999fe780181f806079
-59.0,False,39,0.333274,0,1200,True,e7fff87ffe661f81e661e1e6601e1e199ff81f806007e67f819861f99e78
-22.5,True,1,0.172742,0,2400,True,e07e1fe006678060601e007e7e61f8799866679ff9e006001f818019e780
-138.0,False,63,0.092183,0,4800,True,e1e666007f861986799fe1fe6181e7879fe66187878787f99e6667fe019f
-74.5,True,63,0.864349,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.438112,0,600,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.225461,0,1200,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.118299,0,2400,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065495,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-10.5,True,63,1.296172,0,300,True,8618678001f81f819f9981e79e0001f9e7e67ffe67819e19861861e6607e
-134.5,True,0,0.654252,0,600,True,e01ff981e186019e7f99ffe7e607f87e787f81879e66799807fe0001fe67
-58.5,True,32,0.333242,0,1200,True,fe79f987999e1999fe781ff8787ff999e198606618799e1999f87e6061fe
-77.5,True,6,0.172637,0,2400,True,99f9ff86199999e7ff806799e07e1e0607e7e001fffe19fe1ffe787f861f
-75.0,False,24,0.092676,0,4800,True,87e7e1e0187ff9986000787f87fe1e1fff99e1e61e678600601866798781
-74.5,True,63,0.864532,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.438014,0,600,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.225057,0,1200,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.119009,0,2400,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065594,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-135.0,False,31,1.296389,0,300,True,9ff8607861e00067e00660666799f9e7fff9f9998007e19e66187e1861ff
-70.5,True,63,0.654597,0,600,True,f99e066787ff87f9806067e199ffe1e619878619987fe79f8079f9e1fe78
-22.5,True,7,0.333162,0,1200,True,e1e00199879e6607e07e1fe19e6078661f9ff9ff981f99e781f8661f8078
-59.0,False,56,0.172627,0,2400,True,f8606679ff87e19981e0018618066180079f9e7e7e1e79ff9f87e6679e00
-137.5,True,1,0.09208,0,4800,True,f99e7ffe1f81e19e601e7f8001f81f9e001f86798199e799f981f866061f
-74.5,True,63,0.864331,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.438255,0,600,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.225136,0,1200,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.118638,0,2400,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065006,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-73.5,True,63,1.2964,0,300,True,8679e7e1fffe187ffe606606799806787fe0607e1f81f9e60079e7e61866
-13.5,True,39,0.654315,0,600,True,81fe7e0000186781f999ff860180781e00019e61ffe078001fe07fe7807e
-61.5,True,31,0.333305,0,1200,True,fe001e7fe0199fe787f801f9e06007e0787981f807e67e7800067e79e000
-26.0,False,1,0.172334,0,2400,True,e06060679fff8007998061e786067f9fe06078607e1ff8781860067e6786
-74.0,False,33,0.092239,0,4800,True,87e7e66798661e667ff9fe0181987e6781f9f867e1e7e01f99ffe7e7e666
-74.5,True,63,0.864327,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.438001,0,600,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.225349,0,1200,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.11837,0,2400,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065662,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-22.5,True,57,1.29646,0,300,True,e01fe06619f9987e6679f879f8799e61f8001f9e679f9ff8787981999f9e
-58.5,True,0,0.654056,0,600,True,fffffe66667f8619e061e6067fffe01e7f9e7fe187fe78199fe79861ffe6
-77.5,True,30,0.333523,0,1200,True,e601f99fff9f9ffff99f8199e61e7e799879e1818667e19e79e679e0679f
-90.0,False,6,0.172673,0,2400,True,819fe07e6180019e06786661999878619f807f87f87e7f8601e00061fe19
-13.5,True,38,0.091995,0,4800,True,e1ff87e61e01e187e6198679861867999819f8679f819e1e79819f818066
-74.5,True,63,0.864687,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.438347,0,600,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.225974,0,1200,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.11867,0,2400,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065154,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-59.0,False,63,1.296104,0,300,True,9f9fe19f999e187981f9ff98007e061987867f9fe61861981e061e181980
-135.0,False,7,0.654336,0,600,True,80019ff8781999f87f9e7f879fffe01e00066066019fe6061e07806781ff
-87.0,False,25,0.333077,0,1200,True,e07fe7e007e18187ffe6781e079f867998661f986799e7fe601fe1e7e781
-123.0,False,38,0.172799,0,2400,True,9f81ffe186061f807fe7e1987fe667819980018798067e7980067e019f81
-134.5,True,31,0.09264,0,4800,True,e019f987999f987ff987f9e79e7e6786781e07f818799f87e0018001f981
-74.5,True,63,0.864356,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.438384,0,600,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.225019,0,1200,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.118828,0,2400,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065415,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-70.5,True,33,1.296213,0,300,True,e67f819f81e01867879807f9ffff86799e1e7e01e6067e7e060679fff980
-22.5,True,56,0.654385,0,600,True,987fe1f9e1f87f819e7999e787860019e7ff8619986061e61f9e1fe7f9fe
-137.5,True,7,0.332835,0,1200,True,9818079f9f8798019e018798078199f8007fe1987e1981fe661981e07ff9
-123.0,False,63,0.17232,0,2400,True,f81f9fe1fe780060079ff806679e0679e061e1f9fe7e67807fe667e607e1
-22.5,True,0,0.092127,0,4800,True,99ffe7ff9f87fff80061e7fe007e619987878666666199e0067e78601878
-74.5,True,63,0.864341,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.438279,0,600,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.225061,0,1200,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.118873,0,2400,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065487,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-13.5,True,7,1.296783,0,300,True,e66001e1f87f9ff9e7ff81e181f8607fe0667f9806079878661e67fe619e
-90.0,False,31,0.654182,0,600,True,fe0181e1fe079f87e67e7fff8661fff9866066781fe799e19e67878067e7
-126.0,False,32,0.333201,0,1200,True,e0007fe19807e19801e61e619f8187819e6678787f81e679fff807e66079
-90.0,False,63,0.172548,0,2400,True,e799867f999f980679e6661e00607e7e01f9999f980601fe1998666001e1
-58.5,True,6,0.092562,0,4800,True,999ffe018181f986001e061ff9879800666678661fe601867fe018180078
-74.5,True,63,0.864151,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.438064,0,600,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.225206,0,1200,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.118284,0,2400,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.064988,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-126.0,False,24,1.296193,0,300,True,99e1e01e606787e79e1fffe781f980181e7867f8618198798679e61fe199
-22.5,True,24,0.65401,0,600,True,f9e67e798018186787e1e7e1e007e619801f8001fff9fe780181fe06607e
-75.0,False,30,0.333025,0,1200,True,86019e1e7f800187861981fe07e61fe007e79ff807e79879f99801878601
-75.0,False,33,0.172542,0,2400,True,fe18186601ffe61e0061fe780601fe0786679807e667e1ff80061f81f81f
-70.5,True,56,0.092087,0,4800,True,81fffe1f98000067e7879e619f866798607fff81fe61f806781e00199e1e
-74.0,False,0,0.866195,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffff0fc3f000000000
-74.5,True,63,0.439084,0,600,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.224907,0,1200,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-72.0,True,0,0.119258,0,2400,False,fc0f12240f10000000001e67d99225c8400000000f12e440000020000000
-74.5,True,63,0.065461,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
